Ingredient name,Role in formulation
(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Cyanus Segetum /Matricaria Chamomilla/Humulus Lupulus/Lavandula Angustifolia/Lonicera Japonica/Malva Sylvestris/Rosa Centifolia/Sambucus Nigra/Tilia Cordata/Tussilago Farfara) Flower Extract,Active
(Arnica Montana/Calendula Officinalis/Matricaria Chamomilla) Flower Extract,Active
(Artemisia Princeps/Dendropanax Morbifera/Eclipta Prostrata/Eriobotrya Japonica/Orostachys Japonica/Portulaca Oleracea/Sasa Borealis/Zizania Latifolia Leaf/Stem) Extract,Active
(Artemisia Sieversiana/Dimocarpus Longana) Flower/Leaf/Stem Extract,Active
(Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate,Active
(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract,Active
(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract,Active
(Calendula Officinalis/Safflower Flower)/(Achillea Millefolium Flower/Leaf/Stem)/(Vaccinium Myrtillus/Vitex Agnus-Castus Fruit)/Rhus Chinensis Gall/Walnut Husk/(Camellia Sinensis/Nettle Leaf)/(Juniperus Communis Leaf/Stem)/Horse Chestnut Nut/Dichroa Febrifuga Root/Grape Seed/Acacia Catechu Wood/Goldenrod/Hypericum Perforatum Extract,"Active - Antioxidant, Active"
(Camellia Japonica/Prunus Mume/Safflower Flower)/(Aronia Arbutifolia/Blueberry/Cranberry/Euterpe Oleracea Fruit)/Camellia Sinensis Leaf/Garcinia Mangostana Peel/Coffee Seed/Propolis/Wine Extract,"Active - Antioxidant, Active"
(Camellia Sinensis Leaf/Coix Lacryma-Jobi Ma-Yuen Seed/Morus Alba Bark/Panax Ginseng Root/Salvia Officinalis) Extract,"Active - Antioxidant, Active"
(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract,Fragrance
(Cinnamomum Cassia/Magnolia Officinalis) Bark/Alpinia Officinarum/Angelica Gigas) Root Extract,Active
(Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract,Active
(Codonopsis Tangshen/Dioscorea Japonica) Root/Atractylodes Japonica Rhizome/Poria Cocos/(Dolichos Lablab/Coix Lacryma-Jobi Ma-Yuen/Euryale Ferox/Nelumbo Nucifera) Seed Extract,Active
(Cornus Officinalis/Lycium Chinense/Morus Bombycis/Rice/Schisandra Chinensis/Ziziphus Jujuba) Fruit/(Camellia Sinensis/Diospyros Kaki/Ginkgo Biloba/Perilla Frutescens) Leaf/Citrus Unshiu Peel/(Codonopsis Lanceolata/Cynanchum Wilfordii/Panax Ginseng/Platycodon Grandiflorum/Pleuropterus Multiflorus/Polygonatum Odoratum) Root/Glycine Max Seed/(Eleutherococcus Senticosus/Licorice) Stem/(Artemisia Annua/Houttuynia Cordata) Stem/Leaf/Cirsium Japonicum/Dandelion/Laminaria Digitata/Taraxacum Platycarpum Water,"Active - Antioxidant, Active"
(Cornus Officinalis/Lycium Chinense/Morus Bombycis/Rice/Schisandra Chinensis/Zizyphus Jujuba) Fruit/(Camellia Sinensis/Diospyros Kaki/Ginkgo Biloba/Perilla Frutescens) Leaf/Citrus Unshiu Peel/(Codonopsis Lanceolata/Cynanchum Wilfordii/Panax Ginseng/Platycodon Grandiflorum/Pleuropterus Multiflorus/Polygonatum Odoratum) Root/Glycine Max Seed/(Eleutherococcus Senticosus/Licorice) Stem/(Artemisia Annua/Houttuynia Cordata) Stem/Leaf/Cirsium Japonicum/Dandelion/Laminaria Digitata/Taraxacum Platycarpum Water,"Active - Antioxidant, Active"
(Delphinium Consolida/Lonicera Caprifolium/Calendula Officinalis/Centaurea Cyanus) Flower Extract,Active
(Eclipta Prostrata/Houttuynia Cordata) Leaf Extract,Active
(Euterpe Oleracea/Euterpe Precatoria) Fruit Extract,"Active - Antioxidant, Active"
(Euterpe Oleracea/Euterpe Precatoria/Theobroma Grandiflorum) Fruit Extract,"Active - Antioxidant, Active"
(Grifola Frondosa/Inonotus Obliquus/Schizophyllum Commune/Tricholoma Matsutake) Mycelium/Lethariella Cladonioides Ferment Extract Filtrate,Active
(Lavandula Angustifolia/Melissa Officinalis/Hypericum Perforatum) Flower/(Camellia Sinensis Leaf/(Glycyrrhiza Glabra/Acanthopanax Senticosus) Root/Sarracenia Cobra Nest Leaf/Flower/Stalk Extract,"Active - Antioxidant, Active"
(Lavandula Angustifolia/Melissa Officinalis/Hypericum Perforatum) Flower/-Camellia Sinensis Leaf/-Glycyrrhiza Glabra/Acanthopanax Senticosus) Root/Sarracenia Cobra Nest Leaf/Flower/Stalk Extract,"Active - Antioxidant, Active"
(Lindera Strychnifolia/Paeonia Albiflora) Root/Commiphora Myrrha Resin/Swertia Japonica/Uncaria Gambir Extract,Active
(Liquidambar Formosana/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract,Active
(Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract,Active
(Olive Flower/Leaf)/(Dittrichia Viscosa/Mallow/Parietaria Officinalis/Sage Flower/Leaf/Stem)/(Ecballium Elaterium Fruit/Leaf)/(Agave Americana/Cynara Cardunculus/Mastic Leaf)/(Acanthus Mollis/Rhagadolius Stellatus/Verbascum Sinuatum/Verbena Officinalis Leaf/Flower)/(Moringa Oleifera Leaf/Shoot)/(Artemisia Arborescens/Thymus Capitatus Leaf/Stem)/(Lycium Barbarum Shoot/Fruit/Leaf/Stem) Extract,Active
(Paeonia Lactiflora Bark/Sap)/Phellodendron Amurense Bark/Mentha Arvensis Leaf/Scutellaria Baicalensis Root Extract,Active
(Rh-Polypeptide-111 Rh-Polypeptide-94 Rh-Polypeptide-95) Dimer,Active
(Trifolium Pratense /Vigna Radiata) Sprout Extract,Active
.Aureobasidium Pullulans/Magnolia Sieboldii Branch Extract Ferment Filtrate,Active
"1,10-Decanediol","Humectant, Solvent"
"1,1-Decanediol","Humectant, Solvent"
"1,2-Butanediol","Humectant, Solvent"
"1,2-Hexanediol","Humectant, Solvent"
"1,2-Hexanediyl Dicaprate",Emollient
"1,4-Butanediol","Humectant, Solvent"
"1,4-Butanediol Bisdecanoate","Humectant, Solvent"
"1,4-Butanediol Dimethacrylate","Humectant, Solvent"
"1,4-Butanediol/Succinic Acid/Adipic Acid/Hdi Copolymer","Humectant, Solvent"
"1,4-Butanediol/Succinic Acid/Adipic Acid/Hdi Copolymer","Humectant, Solvent"
"1,4-Cyclohexanediol Bis-Ethylhexanoate","Humectant, Solvent"
"1,5-Naphthalenediol","Humectant, Solvent"
"1,5-Pentanediol","Humectant, Solvent"
"1-Hexyl 4,5-Diamino Pyrazole Sulfate",Emulsifier
"1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate",Emulsifier
"2,3-Butanediol","Humectant, Solvent"
"2,3-Diaminodihydropyrazolo Pyrazolone Dimethosulfonate",Emulsifier
"2,4-Diaminophenoxyethanol Hcl",Preservative
"2,4-Diaminophenoxyethanol Sulfate","Emulsifier, Preservative"
"2,5,6-Triamino-4-Pyrimidinol Sulfate",Emulsifier
"2,5-Dihydroxybenzoic Acid",Preservative
"2,5-Dihydroxybenzoyl Dipeptide-27",Active
"2,5-Dihydroxybenzoyl Dipeptide-48",Active
"2,6-Diaminopyridine Sulfate",Emulsifier
"2,7-Naphthalenediol","Humectant, Solvent"
2-Amino-4-Hydroxyethylaminoanisole Sulfate,Emulsifier
"2-Bromo-2-Nitropropane-1,3-Diol","Humectant, Solvent"
2-Chloro-P-Phenylenediamine Sulfate,Emulsifier
2-Hydroxypropylcarbamato Amodimethicone,Emollient
2-Methoxymethyl-P-Phenylenediamine Sulfate,Emulsifier
2-Methoxy-P-Phenylenediamine Sulfate,Emulsifier
2-Nitro-5-Glyceryl Methylaniline,"Humectant, Solvent"
2-O-Ethyl Ascorbic Acid,Active
"2-Oleamido-1,3-Octadecanediol","Humectant, Solvent"
"3,4-Dihydroxybenzoic Acid",Preservative
"3,4-Dihydroxybenzoyl Dipeptide-49 Amide",Active
3-0-Ethyl Ascorbic Acid,Active
3-Ascorbyl Carbonyl Dipeptide-17,Active
3-Butylglyceryl Ascorbate,"Humectant, Solvent"
3-Ethylamino-P-Cresol Sulfate,Emulsifier
3-Ethylhexylglyceryl Ascorbate,"Humectant, Solvent"
3-Glyceryl Ascorbate,"Humectant, Solvent"
3-Hydroxybenzoic Acid,Preservative
3-Lauryl/Tridecylglyceryl Ascorbate,"Humectant, Solvent"
3-Laurylglyceryl Ascorbate,"Humectant, Solvent"
3-Methylamino-4-Nitrophenoxyethanol,Preservative
3-O-Cetyl Ascorbic Acid,Active
3-O-Ethyl Ascorbic Acid,Active
4-Amino-2-Hydroxytoluene Sulfate,Emulsifier
"4-Ethyl-6-(2,6,6-Trimethyl-2-Cyclohexenyl)-2-Hexene-1,4-Diol Cyclized","Humectant, Solvent"
4-Fluoro-6-Methyl-M-Phenylenediamine Sulfate,Emulsifier
4-Formyl-1-Methylquinolinium-P-Toluenesulfonate,Emulsifier
4-Hydroxybenzoic Acid,Preservative
"4-Methylbenzyl 4,5-Diamino Pyrazole Sulfate",Emulsifier
4-Nitro-O-Phenylenediamine Sulfate,Emulsifier
4-T-Butylbenzoic Acid,Preservative
7-Dehydrocholesterol,Emollient
7-Dehydrocholesteryl Palmitate,Emollient
Abalone Extract,Active
Abeliophyllum Distichum Extract,Active
Abelmoschus Esculentus Fruit Extract,Active
Abelmoschus Manihot Root Extract,Active
Abies Alba Cone Extract,Active
Abies Alba Cone Oil,Emollient
Abies Alba Extract,Active
Abies Alba Leaf Oil,Emollient
Abies Alba Needle Extract,Active
Abies Alba Needle Oil,Emollient
Abies Alba Seed Extract,Active
Abies Alba Seed Oil,Emollient
Abies Alba Wood Extract,Active
Abies Balsamea Balsam Extract,Active
Abies Balsamea Bark Oil,Emollient
Abies Balsamea Extract,Active
Abies Balsamea Needle Extract,Active
Abies Balsamea Needle Oil,Emollient
Abies Concolor Branch/Leaf/Wood Oil,Emollient
Abies Homolepis Leaf Extract,Active
Abies Koreana Leaf Extract,Active
Abies Pectinata Leaf Extract,Active
Abies Pectinata Needle Extract,Active
Abies Pectinata Needle Oil,Emollient
Abies Pectinata Oil,Emollient
Abies Pectinata Wood Oil,Emollient
Abies Sachalinensis Leaf Extract,Active
Abies Sachalinensis Leaf Oil,Emollient
Abies Sibirica Needle Extract,Active
Abies Sibirica Needle Oil,Emollient
Abies Sibirica Oil,Emollient
Abies Spectabilis Branch/Leaf Oil,Emollient
Abies Veitchii Leaf Extract,Active
Abronia Villosa Leaf Extract,Active
Abrus Fruticulosus Leaf Extract,Active
Abrus Fruticulosus Root Extract,Active
Abrus Precatorius Meristem Cell Culture Extract,Active
Abrus Precatorius Root Extract,Active
Acacia Arabica Stem Bark Extract,Active
Acacia Catechu Seed Extract,Active
Acacia Catechu Wood Extract,Active
Acacia Concinna Fruit Extract,Active
Acacia Dealbata Flower Extract,Active
Acacia Dealbata Flower/Stem Extract,Active
Acacia Dealbata Leaf Extract,Active
Acacia Dealbata Seed Extract,Active
Acacia Decurrens Extract,Active
Acacia Decurrens Flower Extract,Active
Acacia Decurrens Leaf Extract,Active
Acacia Decurrens/Jojoba/Sunflower Seed Cera/Polyglyceryl-3 Esters,"Emollient, Humectant, Solvent"
Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters,"Emollient, Humectant, Solvent"
Acacia Farnesiana Extract,Active
Acacia Farnesiana Flower Extract,Active
Acacia Farnesiana Flower Oil,Emollient
Acacia Farnesiana Flower/Stem Extract,Active
Acacia Farnesiana Stem Bark Extract,Active
Acacia Mearnsii Bark Extract,Active
Acacia Saligna Leaf Extract,Active
Acacia Senegal Flower/Stem Extract,Active
Acacia Senegal Gum Extract,Active
Acacia Seyal Gum Extract,Active
Acacia Victoriae Fruit Extract,Active
Acacia Victoriae Seed Extract,Active
Acacia Victoriae Seed Oil,Emollient
Acalypha Reptans Callus Culture Extract,Active
Acanthopanax Koreanum Adventitious Root Culture Extract,Active
Acanthopanax Koreanum Extract,Active
Acanthopanax Koreanum Fruit Extract,Active
Acanthopanax Koreanum Oil,Emollient
Acanthopanax Koreanum Root Extract,Active
Acanthopanax Senticosus Callus Culture Extract,Active
Acanthopanax Senticosus Extract,Active
Acanthopanax Senticosus Root Extract,Active
Acanthopanax Senticosus Stem Extract,Active
Acanthopanax Sessiliflorus Bark Extract,Active
Acanthopanax Sessiliflorus Bark/Honeysuckle Flower/(Arctium Lappa/Vitex Trifolia Fruit)/(Astragalus Membranaceus/Radish Root)/Cinnamomum Cassia/Hordeum Vulgare Extract,Active
Acanthopanax Sessiliflorus Bark/Root/Stem Extract,Active
Acanthopanax Sessiliflorus Callus Extract,Active
Acanthopanax Sessiliflorus Root Extract,Active
Acanthopanax Sessiliflorus Stem Extract,Active
Acanthosicyos Horridus Seed Oil,Emollient
Acanthus Mollis Leaf Extract,Active
Acca Sellowiana Fruit Extract,Active
Acer Campestre Bud Extract,Active
Acer Nikoense Bark Extract,Active
Acer Nikoense Branch/Stem Extract,Active
Acer Palmatum Leaf Extract,Active
Acer Pseudoplatanus Extract,Active
Acer Rubrum Bark Extract,Active
Acer Rubrum Extract,Active
Acer Saccharum Extract,Active
Acer Saccharum Sap Extract,Active
Acer Tegmentosum Stem Extract,Active
Acetamidoamodimethicone,Emollient
Acetic/Linoleic/Palmitic Triglyceride,Emollient
Acetobacter/(Acanthopanax Sessiliflorus/Ailanthus Altissima/Albizia Julibrissin/Betula Alba/Betula Platyphylla Japonica/Eucommia Ulmoides/Melia Azadirachta/Morus Alba) Bark/(Adenophora Stricta/Angelica Acutiloba/Angelica Koreana/Angelica Tenuissima/Astragalus Membranaceus/Atractyloides Macrocephala/Bupleurum Chinensis/Bupleurum Falcatum/Cnidium Officinale/Cyperus Rotundus/Dioscorea Japonica/Gastrodia Elata/Ledebouriella Seseloides/Ophiopogon Japonicus/Paeonia Albiflora/Paeonia Lactiflora/Panax Ginseng/Platycodon Grandiflorum/Pueraria Lobata/Rehmannia Chinensis/Rehmannia Glutinosa/Saposhnikovia Divaricata/Scrophularia Buergeriana/Scutellaria Baicalensis/Trichosanthes Kirilowii/Ulmus Davidiana/Vitis Vinifera/Zingiber Officinale) Root/Akebia Quinata Stem/(Artemisia Capillaris/Biota Orientalis/Morus Alba/Perilla Frutescens/Thuja Orientalis) Leaf/(Carthamus Tinctorius/Chrysanthemum Indicum/Gardenia Florida/Lonicera Japonica) Flower/(Cassia Obtusifolia/Cassia Tora/Coix Lacryma-Jobi Ma-Yuen/Glycine Max/Glycine Soja) Seed/(Chaenomeles Sinensis/Cornus Officinalis/Forsythia Suspensa/Gardenia Jasminoides/Lycium Chinense/Schisandra Chinensis/Ziziphus Jujuba) Fruit/Morus Alba Twig/Pterocarpus Santalinus Wood/(Atractyloides Japonica/Cnidium Officinale) Rhizome/Alisma Orientale Tuber/Ginkgo Biloba Nut/Poria Cocos Sclerotium/Ganoderma Lucidum/Inontus Obliquus/Tremella Fuciformis/(Leonurus Sibiricus/Pueraria Thunbergiana) Flower/Leaf/Stem/Bambusa Vulgaris Leaf/Stem/Polygonatum Multiflorum Rhizome/Root/Rheum Palmatum Root/Stalk/Acorus Gramineus Root/Stem/Achyranthes Japonica/Agastache Rugosa/Anthriscus Sylvestris/Aralia Cordata/Chrysanthemum Sibiricum/Citrus Unshiu/Cordyceps Sinensis/Dianthus Chinensis/Dryopteris Crassirhizoma/Geranium Thunbergii/Houttuynia Cordata/Mentha Arvensis/Orostachys Japonica/Phellinus Linteus/Pinus Densiflora/Polygonum Aviculare/Salicornia Herbacea/Saururus Chinensis/Schizonepeta Tenuifolia/Selaginella Tamariscina/Sorbus Commixta/Taraxacum Platycarpum/Trametes Versicolor/Velvet/Honey/Malt Ferment Filtrate,"Active - Antioxidant, Active"
Acetobacter/(Acanthopanax Sessiliflorus/Ailanthus Altissima/Albizia Julibrissin/Betula Alba/Betula Platyphylla Japonica/Eucommia Ulmoides/Melia Azadirachta/Morus Alba) Bark/(Adenophora Stricta/Angelica Acutiloba/Angelica Koreana/Angelica Tenuissima/Astragalus Membranaceus/Atractylodes Macrocephala/Bupleurum Chinensis/Bupleurum Falcatum/Cnidium Officinale/Cyperus Rotundus/Dioscorea Japonica/Gastrodia Elata/Ledebouriella Seseloides/Ophiopogon Japonicus/Paeonia Albiflora/Paeonia Lactiflora/Panax Ginseng/Platycodon Grandiflorus/Pueraria Lobata/Rehmannia Chinensis/Rehmannia Glutinosa/Saposhnikovia Divaricata/Scrophularia Buergeriana/Scutellaria Baicalensis/Trichosanthes Kirilowii/Ulmus Davidiana/Vitis Vinifera/Zingiber Officinale) Root/Akebia Quinata Stem/(Artemisia Capillaris/Biota Orientalis/Morus Alba/Perilla Frutescens/Thuja Orientalis) Leaf/(Carthamus Tinctorius/Chrysanthemum Indicum/Gardenia Florida/Lonicera Japonica) Flower/(Cassia Obtusifolia/Cassia Tora/Coix Lacryma-Jobi Ma-Yuen/Glycine Max/Glycine Soja) Seed/(Chaenomeles Sinensis/Cornus Officinalis/Forsythia Suspensa/Gardenia Jasminoides/Lycium Chinense/Schisandra Chinensis/Zizyphus Jujuba) Fruit/Morus Alba Twig/Pterocarpus Santalinus Wood/(Atractylodes Japonica/Cnidium Officinale) Rhizome/Alisma Orientale Tuber/Ginkgo Biloba Nut/Poria Cocos Sclerotium/Ganoderma Lucidum/Inontus Obliquus/Tremella Fuciformis/(Leonurus Sibiricus/Pueraria Thunbergiana) Flower/Leaf/Stem/Bambusa Vulgaris Leaf/Stem/Polygonatum Multiflorum Rhizome/Root/Rheum Palmatum Root/Stalk/Acorus Gramineus Root/Stem/Achyranthes Japonica/Agastache Rugosa/Anthriscus Sylvestris/Aralia Cordata/Chrysanthemum Sibiricum/Citrus Unshiu/Cordyceps Sinensis/Dianthus Chinensis/Dryopteris Crassirhizoma/Geranium Thunbergii/Houttuynia Cordata/Mentha Arvensis/Orostachys Japonica/Phellinus Linteus/Pinus Densiflora/Polygonum Aviculare/Salicornia Herbacea/Saururus Chinensis/Schizonepeta Tenuifolia/Selaginella Tamariscina/Sorbus Commixta/Taraxacum Platycarpum/Trametes Versicolor/Velvet/Honey/Malt Ferment Filtrate,"Active - Antioxidant, Active"
Acetobacter/Aspergillus/Lactobacillus/Leuconostoc/Pediococcus/Saccharomyces/Zygosaccharomyces/Citrus Unshiu Fruit/Citrus Japonica Fruit/Citrus Junos Fruit/ Apple Fruit/Banana Fruit/Papaya Fruit/ Pyrus Serotina Fruit/ Diospyros Kaki Fruit/Watermelon Fruit/Peach Fruit/ Prunus Mume Fruit/Fig Fruit/Chaenomeles Sinensis Fruit/Eriobotrya Japonica Fruit/Apricot Fruit/ Ziziphus Jujuba Fruit/Cucurbita Maxima Fruit/Castanea Crenata Fruit/Vitis Coignetiae Fruit/Raspberry Fruit/Momordica Grosvenorii Fruit/Lycium Chinense Fruit/Glycine Max Seed/Phaseolus Angularis Seed/Canavalia Ensiformis Seed/Rice Seed/Hordeum Vulgare Seed/Coix Lacryma-Jobi Ma-Yuen Seed/Echinochloa Crus-Galli Seed/Setaria Italica Seed/Millet Seed/Hemerocallis Fulva Flower/Cabbage Leaf/Stem/Morus Bombycis Leaf/Perilla Frutescens Leaf/Ipomoea Batatas Root/Colocasia Antiquorum Tuber/Dioscorea Batatas Rhizome/Iridea Laminarioides/Laminaria Japonica/Nemacystus Decipiens/Undaria Pinnatifida/Radish Root/Turnip Root/Carrot Root/Arctium Lappa Root/Nelumbo Nucifera Rhizome/Onion Bulb/Lilium Auratum Bulb/Licorice Root/Sagittaria Trifolia Root/Sesame Seed/Ginkgo Biloba Seed/Juglans Subcordiformis Fruit/Panax Ginseng Seed/Actinidia Polygama Fruit/Hydnum Erinaceum Fruiting Body/Grifola Frondosa Fruiting Body/Prunus Salicina Fruit/Akebia Quinata Fruit/Crataegus Cuneata Fruit/Cornus Officinalis Fruit/Nephelium Longana Fruit/Houttuynia Cordata/Artemisia Princeps/Sasa Veitchii Leaf/Glechoma Hederacea/Chamomilla Recutita Flower/Equisetum Arvense/Cassia Obtusifolia Seed/Taraxacum Officinale/Isodon Japonicus/Safflower Flower/Plantago Asiatica/Smallanthus Sonchifolius Root/Garlic Bulb/Ginger Rhizome/Beet Rhizome/Polygonum Odoratum Rhizome/Turmeric Rhizome/Acanthopanax Sieboldianus Root/Pinus Koraiensis Seed/Lentinus Edodes Fruiting Body/Auricularia Auricula-Judae/Vitis Labrusca Fruit/Helianthus Tuberosus Tuber Ferment Extract,"Active - Antioxidant, Active"
Acetobacter/Aspergillus/Lactobacillus/Leuconostoc/Pediococcus/Saccharomyces/Zygosaccharomyces/Citrus Unshiu Fruit/Citrus Japonica Fruit/Citrus Junos Fruit/ Apple Fruit/Banana Fruit/Papaya Fruit/ Pyrus Serotina Fruit/ Diospyros Kaki Fruit/Watermelon Fruit/Peach Fruit/ Prunus Mume Fruit/Fig Fruit/Chaenomeles Sinensis Fruit/Eriobotrya Japonica Fruit/Apricot Fruit/ Zizyphus Jujuba Fruit/Cucurbita Maxima Fruit/Castanea Crenata Fruit/Vitis Coignetiae Fruit/Raspberry Fruit/Momordica Grosvenorii Fruit/Lycium Chinense Fruit/Glycine Max Seed/Phaseolus Angularis Seed/Canavalia Ensiformis Seed/Rice Seed/Hordeum Vulgare Seed/Coix Lacryma-Jobi Ma-Yuen Seed/Echinochloa Crus-Galli Seed/Setaria Italica Seed/Millet Seed/Hemerocallis Fulva Flower/Cabbage Leaf/Stem/Morus Bombycis Leaf/Perilla Frutescens Leaf/Ipomoea Batatas Root/Colocasia Antiquorum Tuber/Dioscorea Batatas Rhizome/Iridea Laminarioides/Laminaria Japonica/Nemacystus Decipiens/Undaria Pinnatifida/Radish Root/Turnip Root/Carrot Root/Arctium Lappa Root/Nelumbo Nucifera Rhizome/Onion Bulb/Lilium Auratum Bulb/Licorice Root/Sagittaria Trifolia Root/Sesame Seed/Ginkgo Biloba Seed/Juglans Subcordiformis Fruit/Panax Ginseng Seed/Actinidia Polygama Fruit/Hydnum Erinaceum Fruiting Body/Grifola Frondosa Fruiting Body/Prunus Salicina Fruit/Akebia Quinata Fruit/Crataegus Cuneata Fruit/Cornus Officinalis Fruit/Nephelium Longana Fruit/Houttuynia Cordata/Artemisia Princeps/Sasa Veitchii Leaf/Glechoma Hederacea/Chamomilla Recutita Flower/Equisetum Arvense/Cassia Obtusifolia Seed/Taraxacum Officinale/Isodon Japonicus/Safflower Flower/Plantago Asiatica/Smallanthus Sonchifolius Root/Garlic Bulb/Ginger Rhizome/Beet Rhizome/Polygonum Odoratum Rhizome/Turmeric Rhizome/Acanthopanax Sieboldianus Root/Pinus Koraiensis Seed/Lentinus Edodes Fruiting Body/Auricularia Auricula-Judae/Vitis Labrusca Fruit/Helianthus Tuberosus Tuber Ferment Extract,"Active - Antioxidant, Active"
