0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,,,,,
(Arctium Lappa/Raphanus Sativus/Malva Verticillata) Seed Oil,(Arctium Lappa/Raphanus Sativus/Malva Verticillata) Seed Oil,,Low risk,Low risk,Emollient,,CosIng Inventory,0,1-100%,1-100%,1-50%,,,,0.0,1.0,-0.2,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.0,,0.0,,1.0,,0.0,,0.2,,0.2,,0.2,,0.0,,0.0,,0.0,,0.0,,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Emollient
(Arnica Montana/Calendula Officinalis/Matricaria Chamomilla) Flower Extract,(Arnica Montana/Calendula Officinalis/Matricaria Chamomilla) Flower Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Cyanus Segetum /Matricaria Chamomilla/Humulus Lupulus/Lavandula Angustifolia/Lonicera Japonica/Malva Sylvestris/Rosa Centifolia/Sambucus Nigra/Tilia Cordata/Tussilago Farfara) Flower Extract,(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Cyanus Segetum /Matricaria Chamomilla/Humulus Lupulus/Lavandula Angustifolia/Lonicera Japonica/Malva Sylvestris/Rosa Centifolia/Sambucus Nigra/Tilia Cordata/Tussilago Farfara) Flower Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Artemisia Sieversiana/Dimocarpus Longana) Flower/Leaf/Stem Extract,(Artemisia Sieversiana/Dimocarpus Longana) Flower/Leaf/Stem Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate,(Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,6.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract,(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Artemisia Princeps/Dendropanax Morbifera/Eclipta Prostrata/Eriobotrya Japonica/Orostachys Japonica/Portulaca Oleracea/Sasa Borealis/Zizania Latifolia Leaf/Stem) Extract,(Artemisia Princeps/Dendropanax Morbifera/Eclipta Prostrata/Eriobotrya Japonica/Orostachys Japonica/Portulaca Oleracea/Sasa Borealis/Zizania Latifolia Leaf/Stem) Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Camellia Japonica/Prunus Mume/Safflower Flower)/(Aronia Arbutifolia/Blueberry/Cranberry/Euterpe Oleracea Fruit)/Camellia Sinensis Leaf/Garcinia Mangostana Peel/Coffee Seed/Propolis/Wine Extract,(Camellia Japonica/Prunus Mume/Safflower Flower)/(Aronia Arbutifolia/Blueberry/Cranberry/Euterpe Oleracea Fruit)/Camellia Sinensis Leaf/Garcinia Mangostana Peel/Coffee Seed/Propolis/Wine Extract,,Moderate risk,Low risk,Active - Antioxidant,,CosIng Inventory,0,,,,,,,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,,Manual,,,"Active - Antioxidant, Active"
(Calendula Officinalis/Safflower Flower)/(Achillea Millefolium Flower/Leaf/Stem)/(Vaccinium Myrtillus/Vitex Agnus-Castus Fruit)/Rhus Chinensis Gall/Walnut Husk/(Camellia Sinensis/Nettle Leaf)/(Juniperus Communis Leaf/Stem)/Horse Chestnut Nut/Dichroa Febrifuga Root/Grape Seed/Acacia Catechu Wood/Goldenrod/Hypericum Perforatum Extract,(Calendula Officinalis/Safflower Flower)/(Achillea Millefolium Flower/Leaf/Stem)/(Vaccinium Myrtillus/Vitex Agnus-Castus Fruit)/Rhus Chinensis Gall/Walnut Husk/(Camellia Sinensis/Nettle Leaf)/(Juniperus Communis Leaf/Stem)/Horse Chestnut Nut/Dichroa Febrifuga Root/Grape Seed/Acacia Catechu Wood/Goldenrod/Hypericum Perforatum Extract,,Moderate risk,Low risk,Active - Antioxidant,,CosIng Inventory,0,,,,,,,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,,Manual,,,"Active - Antioxidant, Active"
(Camellia Sinensis Leaf/Coix Lacryma-Jobi Ma-Yuen Seed/Morus Alba Bark/Panax Ginseng Root/Salvia Officinalis) Extract,(Camellia Sinensis Leaf/Coix Lacryma-Jobi Ma-Yuen Seed/Morus Alba Bark/Panax Ginseng Root/Salvia Officinalis) Extract,,Moderate risk,Low risk,Active - Antioxidant,,CosIng Inventory,0,,,,,,,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,,Manual,,,"Active - Antioxidant, Active"
(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract,(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Cinnamomum Cassia/Magnolia Officinalis) Bark/Alpinia Officinarum/Angelica Gigas) Root Extract,(Cinnamomum Cassia/Magnolia Officinalis) Bark/Alpinia Officinarum/Angelica Gigas) Root Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract,(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract,,High risk,Low risk,Fragrance,,CosIng Inventory,0,0.05-2%,0.05-2%,Not approved,,,,0.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Fragrance
(Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract,(Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
